gene,pooled_rho
RPL9,-0.1402136239780874
PDS5A,-0.1072417771275557
ATP8A1,-0.2508290453337732
COMMD8,0.1464339132936486
TXK,-0.2438403688956237
USP46,0.1322826509110906
SCFD2,-0.1251396823593666
PAICS,-0.1405084114998578
REST,-0.1263846759542305
CENPC,-0.1395748336426888
YTHDC1,-0.1740977578132777
SULT1B1,-0.329352342710755
GRSF1,-0.1620841348218614
ANKRD17,-0.1382825695429837
NAAA,0.1100784768747393
CNOT6L,-0.1491304044990889
BMP2K,-0.2523633822051388
RASGEF1B,-0.1565221770348145
HNRNPDL,-0.1855382672267488
PLAC8,-0.328260569117385
ABRAXAS1,-0.1720679369112531
HERC3,-0.127042836753798
FAM13A,0.2411377212431142
HPGDS,-0.1058739419767561
TSPAN5,0.1500576569104562
PPP3CA,0.1187367730867185
SLC39A8,0.1876734897778259
CISD2,0.1100874472810255
TET2,-0.1373063720391345
PPA2,0.1603419472477169
LEF1,-0.2659291775727223
C4orf3,0.1861619386340333
ANXA5,0.2422242143067403
JADE1,-0.1238143185828924
SCLT1,-0.1312676337575579
NOCT,-0.1434697706976583
MAML3,-0.2996133668829812
IL15,0.2164100387933236
INPP4B,0.2104839856232291
USP38,-0.1918228758178198
SMARCA5,-0.1217385716441053
ABCE1,-0.232690092862946
OTUD4,-0.1500215906918302
LRBA,-0.1420436268224446
RPS3A,-0.1932373214901323
SH3D19,-0.1099846722017544
TRIM2,0.1853532511541288
TMEM131L,-0.2291490120737017
RNF175,-0.1681154282317417
RAPGEF2,-0.1034479167647668
NAF1,-0.1018617928291143
NEK1,-0.1276243243126616
SAP30,0.1386335542595571
HPGD,-0.2159850155731656
CDKN2AIP,-0.1987258936705139
SNX25,-0.1140747880315075
SDHA,0.1008472734454163
NDUFS6,0.1171887978054005
RETREG1,-0.2742806686933052
SUB1,0.1781805037984607
IL7R,-0.1206955459028251
NIPBL,-0.1380172809459326
WDR70,-0.1128554520594663
RICTOR,-0.1851986253966985
FYB1,-0.2923636567562108
RPL37,-0.194941657505474
OXCT1,-0.106838028068953
ZNF131,-0.1686713099901411
SNX18,-0.1774659353756438
GZMK,0.2069472472818407
GZMA,0.1905442701495942
IL6ST,-0.3042597490767461
ANKRD55,-0.1297417311161993
PLK2,-0.1068133440431439
PDE4D,-0.1544698786136509
ERBIN,-0.1942389938674223
SREK1,-0.1955459231661819
PIK3R1,0.1239801414485832
HEXB,0.1364016611613505
TBCA,0.1842974827951387
AP3B1,-0.1149999313851391
JMY,-0.1387950855426565
TENT2,-0.1268314188014305
SERINC5,-0.2066658788397833
MSH3,-0.1084172907999778
RASGRF2,-0.1107646415114262
SSBP2,-0.2158592169320546
RPS23,-0.2322901977867299
RASA1,-0.1145118183010849
SLF1,0.1194394325788399
ELL2,-0.1196453487637356
LNPEP,-0.1566735715301621
PPIP5K2,-0.1664384536250729
MAN2A1,-0.1097164108049371
CAMK4,-0.3509881002335051
NREP,-0.4687523377913504
SRP19,0.1372325808846092
REEP5,0.3060968881614599
DCP2,-0.1533031920444433
YTHDC2,-0.1319516486635116
CDO1,0.1128017152807897
AP3S1,0.1861999914487174
SNX24,0.1218029410258782
CSNK1G3,-0.152732790128114
HINT1,0.2923697663468881
RAPGEF6,-0.2126168266544707
FNIP1,-0.1276469847785018
TCF7,-0.28517133478375
JADE2,-0.1103956423745201
DDX46,-0.1458750661852221
FAM13B,-0.1306144595829971
